Entity	Code	Day	Training computation (petaFLOP)	Domain
(ensemble): AWD-LSTM-DOC (fin) × 5 (WT2)		2018-08-30	693.0	Language
2-layer-LSTM+Deep-Gradient-Compression		2017-12-05	1.34	Language
3D city reconstruction		2009-09-29		Other
4 layer QRNN (h=2500)		2018-03-22	240.00002	Language
6-Act Tether		2021-08-03		Other
6-layer MLP (MNIST)		2010-03-01	0.130788	Vision
A3C FF hs		2016-02-04		Games
ADALINE		1960-06-30	9.9e-12	Vision
ADAM (CIFAR-10)		2014-12-22	60.48	Vision
ADAPTIVE NLPM		2008-12-08		Language
ADM		2021-05-11	6200000.0	Image generation
AFM-on-device		2024-07-29	451260000.0	Language
AFM-server		2024-07-29		Language
ALBERT		2019-09-26		Language
ALBERT-xxlarge		2020-02-09	2390000.0	Language
ALIGN		2021-06-11	25986700.0	Multiple domains
ALM 1.0		2022-11-28		Language
ALVINN		1989-12-01	1.0548576e-05	Other
AMDIM		2019-06-03		Multiple domains
ANN Eye Tracker		1993-11-29	1.7534401e-05	Vision
AR-LDM		2022-11-20	510000.0	Image generation
ASE+ACE		1983-09-01	3.24e-07	Other
ATLAS		2020-05-02	38257.92	Language
AWD-LSTM		2017-07-18		Language
AWD-LSTM + MoS + Partial Shuffled		2019-06-10	328.0	Language
AWD-LSTM - 3-layer LSTM (tied) + continuous cache pointer (WT2)		2017-08-07	309.00003	Language
AWD-LSTM+WT+Cache+IOG (WT2)		2017-09-26	3.3100002	Language
AWD-LSTM-DRILL + dynamic evaluation† (WT2)		2019-05-14	424.0	Language
AWD-LSTM-MoS + dynamic evaluation (WT2, 2017)		2017-11-10	437.0	Language
AWD-LSTM-MoS + dynamic evaluation (WT2, 2018)		2018-09-18		Language
AWD-LSTM-MoS+PDR + dynamic evaluation (WT2)		2018-08-14		Language
AbLang (heavy sequences)		2022-01-22		Biology
AdaBoost.M2 Digit Recognition		1996-07-03		Vision
AdaRNN		2014-06-01		Language
Adaptive Input Transformer + RD		2021-06-28	82000.0	Language
Adaptive Inputs + LayerDrop		2019-09-25		Language
Adaptive Subgrad		2011-10-03		Language
Advantage Learning		2015-12-15		Games
Adversarial Joint Adaptation Network (ResNet)		2017-08-17		Vision
Agent57		2020-03-30		Games
Agile Soccer Robot		2023-04-26		Other
AlexNet		2012-09-30	470.0	Vision
AlexaTM 20B		2022-08-02	204374020.0	Language
AlphaCode		2022-02-02	163944000.0	Language
AlphaFold		2020-01-15	100000.0	Biology
AlphaFold 2		2020-11-30	2990000.0	Biology
AlphaFold-Multimer		2021-10-04	4350000.0	Biology
AlphaGeometry		2024-01-17		Other
AlphaGo Fan		2015-10-01	380000.03	Games
AlphaGo Lee		2016-01-27	1900000.0	Games
AlphaGo Master		2017-01-01	200010000.0	Games
AlphaGo Zero		2017-10-18	341000000.0	Games
AlphaMissense		2023-09-22		Biology
AlphaStar		2019-10-30	59250000.0	Games
AlphaX-1		2019-10-02	7600.0	Vision
AlphaZero		2017-12-05	36679270.0	Games
AltCLIP_M9		2022-11-12		Multiple domains
Amazon Titan		2023-09-28	4800000000.0	Multiple domains
AmoebaNet-A (F=190)		2018-02-05		Vision
AmoebaNet-A (F=448)		2018-02-05	385296.9	Vision
Ankh_large		2023-01-16	6500000.0	Biology
AudioGen		2023-03-05	9500000.0	Other
AudioLM		2023-07-26	3900.0	Other
Aya		2024-02-12		Language
BART-large		2019-10-29		Language
BASIC-L		2021-11-19	41200000.0	Vision
BASIC-L + Lion		2023-02-13		Vision
BEIT-3		2022-08-22	70000.0	Multiple domains
BERT-Large		2018-10-11	285000.0	Language
BERT-Large-CAS (PTB+WT2+WT103)		2019-04-20	521000.03	Language
BERT-RBP		2022-04-07	140000.0	Biology
BIDAF		2016-11-05	3468.6145	Language
BLIP-2 (Q-Former)		2023-01-30	1200000.0	Multiple domains
BLOOM-176B		2022-07-11	365664000.0	Language
BLOOMZ-176B		2022-11-03		Language
BLSTM for handwriting (1)		2007-09-23		Vision
BLSTM for handwriting (2)		2007-12-03		Vision
BLUUMI		2023-11-03		Language
BOXES		1968-07-01		Games
BPE		2015-08-31		Language
BPL		2015-12-11		Image generation
Back-propagation		1986-10-01	1.24416e-07	Other
