category,name,year,value
HW FLOPS,Pentium 4,2005,90
HW FLOPS,GTX 580,2010,6000
HW FLOPS,K40,2014,15000
HW FLOPS,KNL,2016,22000
HW FLOPS,TPUv3,2018,420000
HW FLOPS,A100,2020,1250000
HW FLOPS,H100,2022,2000000
HW FLOPS,Gaudi 2,2022,1100000
HW FLOPS,B200,2024,4500000
DRAM BW,GDDR4,2007,1.8
DRAM BW,GDDR5,2010,10
DRAM BW,HBM,2015,30
DRAM BW,HBM 2,2018,70
DRAM BW,HBM 3,2021,120
DRAM BW,HBM3E,2024,250
Interconnect BW,PCIe 2.0,2007,1.2
Interconnect BW,PCIe 3.0,2011,2
Interconnect BW,NVLink 1.0,2016,3
Interconnect BW,PCIe 5.0,2019,8
Interconnect BW,NVLink 4.0,2024,50
