Categories	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6
Resolution	> Millions of Cells					
Resolution	10s of thousands of Cells					
Resolution	100s of Cells					
Resolution	Single Cell					
Speed	1 Hz					
Speed	10Hz					
Speed	100Hz					
Speed	1000Hz					
Duration single session	Seconds					
Duration single session	Minutes					
Duration single session	Hours					
Duration single session	Days					
Total Volume Imaged	1 µm					
Total Volume Imaged	1 mm					
Total Volume Imaged	1 cm					
Total Volume Imaged	1 liter					
						
						
	EEG	fMRI	fUS	Calcium Imaging	Voltage Imaging	MEA
Resolution	1	2	3	4	4	4
Speed	4	1	3	2	3.25	4
Duration	3	3	4	2	1.5	4
Volume	3.5	4	3	2	1.75	1.5
