Name	URL	URL to Dataset	Description	Tags
NWB	https://www.nwb.org/example-datasets/	All on DANDI		
OpenNeuro	https://openneuro.org/	https://openneuro.org/	Filtering, >600 datasets, one of best repositories; leans toward fMRI and EEG but also everything	
Dandi	https://www.dandiarchive.org/		One of best repositories; leans toward fine function and structure but also everything else	cell ephys
Spatial Atlas	https://www.spatial-atlas.net/Brain/	https://zenodo.org/records/8327576		RNA-seq,connectome,multimodal
OpenDatasets	https://imaging.mrc-cbu.cam.ac.uk/methods/OpenDatasets		Good meta-repository; includes good description, e.g. giant unification study	ca2+,fMRI,fNIRS,multimodal
MICRONS Explorer	https://www.microns-explorer.org/phase1	https://zenodo.org/records/7510511	mouse EM dataset	
Natural Scenes Dataset	https://naturalscenesdataset.org/	Must fill out form for access: https://docs.google.com/forms/d/e/1FAIpQLSduTPeZo54uEMKD-ihXmRhx0hBDdLHNsVyeo_kCb8qbyAkXuQ/viewform	(used by MedARC and 2023 Algonauts Challenge)	
NeuroTechX dataset curation	https://github.com/NeuroTechX/awesome-bci#brain-databases			
Brain Image Library	https://api.brainimagelibrary.org/web/	https://submit.brainimagelibrary.org/search	brain CONNECTS dataset in the US	
Open Ephys	https://github.com/openlists/ElectrophysiologyData	Most repositories listed are repeats, direct data is listed below		cell ephys
Open EEG	https://github.com/meagmohit/EEG-Datasets			EEG
Allen Open Datasets	https://alleninstitute.org/open-science-tools/	https://portal.brain-map.org/	connectome, transcriptome and calcium! calcium here: https://portal.brain-map.org/explore/circuits/visual-coding-2p	MRI,RNA-seq,ca2+,connectome
NeMO	www.nemoarchive.org	https://portal.nemoarchive.org/search/f?facetTab=cases	Omic data	epigenomics
Flywire	https://flywire.ai/	Requires sign in: https://codex.flywire.ai/	drosophila connectome	connectome
BossDB	https://bossdb.org/	https://bossdb.org/projects	Volumetric database for 3D and 4D neuroscience data, focused on Electron Microscopy and X-ray Micro/Nano Tomography	electron microscopy,x-ray
Neuromorpho	http://neuromorpho.org/	https://neuromorpho.org/MetaData.jsp	Inventory of digitally reconstructed neurons and glia associated with peer-reviewed publications	
1000 Functional Connectomes Project	https://neuinfo.org/data/source/nlx_144428-1/search?q=%2A&l=&per_page=100	http://fcon_1000.projects.nitrc.org/fcpClassic/FcpTable.html	Fully open downloadable database of 1200 resting state fMRI datasets collected from 33 sites around the world	MRI,fMRI
ABA Mouse Brain: CellType Ephys Data	https://neuinfo.org/data/source/nif-0000-00508-4/search?q=%2A&l=	https://neuinfo.org/data/source/nif-0000-00508-4/search?q=*&l=	Mouse brain cell ephys data in various anatomical regions. Databases of neuronal cell types based on multimodal characterization of single cells to enable data-driven approaches to characterization	cell ephys,multimodal
BrainMaps	https://www.brainmaps.org/	https://www.brainmaps.org/datasetslist.php?start=0&sort=1	Interactive, multiresolution next-generation brain atlas that is based on over 140 million megapixels of sub-micron resolution, annotated, scanned images of serial sections of both primate and non-primate brains	MRI,multimodal
(CRCNS) Collaborative Research in Computational Neuroscience	https://crcns.org/data-sets	https://crcns.org/data-sets	Experimental data sets of high quality that will be valuable for testing computational models of the brain and new analysis methods. The data include physiological recordings from sensory and memory systems, as well as eye movement data	EEG,electron microscopy,multimodal
EEGbase	https://neuinfo.org/data/source/nif-0000-08190-1/page/3/search?q=%2A&l=	https://neuinfo.org/data/source/nif-0000-08190-1/page/3/search?q=*&l=	Information related to EEG/ERP research, including data, tools and resources.	EEG
Information eXtraction from Images (IXI dataset)	https://brain-development.org/ixi-dataset/	https://brain-development.org/ixi-dataset/	Nearly 600 MR images from normal, healthy subjects	MRI
ModelDB	https://modeldb.science/	https://modeldb.science/ListByModelName	ModelDB provides an accessible location for storing and efficiently retrieving computational neuroscience models that can be filtered by cell type, network models, pathophysiologies, etc. Mostly computational models	multimodal
NeuronDB	https://senselab.med.yale.edu/neurondb	https://senselab.med.yale.edu/NeuronDB/NeuronList	Dynamically searchable database of three types of neuronal properties: voltage gated conductances, neurotransmitter receptors, and neurotransmitter substances	
COINS	https://coins.trendscenter.org/		Allows for uploading, sharing, and querying of datasets. Includes more than 1,000 ABIDE datasets (including functional and structural imaging data and phenotypic data for the study of autism) and the CoRR dataset, consisting of 1,629 Subjects 3,357 Anatomical Scans, 5,093 Resting Functional Scans, 1,302 Diffusion Scans, 300 CBF and ASL Scans	fMRI,multimodal
NeuroML	https://neuroml-db.org/search_model	https://neuroml-db.org/	Sharing complex, multiscale neuron and neuronal network models; mostly single cell models	
NeuroVault	https://neurovault.org/	https://neurovault.org/collections/?q=	Publicly store and share unthresholded statistical maps, parcellations, and atlases produced by MRI and PET studies. Awful UX unfortunately; many datasets appear to be ~6 fMRI images, unclear if full dataset is stored elsewhere	MRI,PET
