Volume (mm³),Resolution (voxel volume),Resolution (mm³/voxel),Total voxels N,sqrt(N),percent,Comment
0.04,15 µm³,1.50E-08,2666666.667,1632.993162,100.00%,"volume is one plane in lightsheet microscopy of 512x512x15 µm; resolution for calcium imaging, fUS and fMRI"
0.04,0.004 mm³,4,10,3.16227766,0.19%,
0.04,1 mm³,1,0.04,0.2,0.01%,
1,15 µm³,1.50E-08,66666666.67,8164.965809,100.00%,
1,0.004 mm³,4,250,15.8113883,0.19%,
1,1 mm³,1,1,1,0.01%,
450,15 µm³,1.50E-08,30000000000,173205.0808,100.00%,
450,0.004 mm³,4,112500,335.4101966,0.19%,
450,1 mm³,1,450,21.21320344,0.01%,
10000,15 µm³,1.50E-08,666666666667,816496.5809,100.00%,
10000,0.004 mm³,4,2500000,1581.13883,0.19%,
10000,1 mm³,1,10000,100,0.01%,
1500000,15 µm³,1.50E-08,1.00E+14,10000000,100.00%,
1500000,0.004 mm³,4,375000000,19364.91673,0.19%,
1500000,1 mm³,1,1500000,1224.744871,0.01%,
