id,year,img_tech,,vx_x,vx_y,vx_z,vx_avg,vx_vol,,tgt_vx_size,,exp_paper,exp_eff,,img_rate,vol_rate,,mouse_time,human_time,mouse_str,human_str,,mouse_scopes_1yr,human_scopes_1yr,mouse_scopes_1yr_str,human_scopes_1yr_str,,cost_scope,cost_scopes_mouse_1yr,cost_scopes_human_1yr
,,,,nm,nm,nm,nm3,mm3,,nm,,,,,mhz,mm3/sec,,sec,sec,,,,,,,,,$,,
Briggman 2011,2011,SBF - SEM,,17,17,23,18.43,6.26E-15,,2,,1.00,9.22,,0.5,3.30E-09,,1.19E+14,2.85E+17,3.8M years,9037.3M years,,3765538,9037290716,3.8M,9037.3M,,,,
Kim 2014,2014,SBF - SEM,,17,17,23,18.43,6.26E-15,,2,,1.00,9.22,,0.5,3.30E-09,,1.19E+14,2.85E+17,3.8M years,9037.3M years,,3765538,9037290716,3.8M,9037.3M,,,,
Helmstaedter 2011,2011,SBF - SEM,,22,22,30,24.40,1.45E-14,,2,,1.00,12.20,,0.1,1.82E-09,,5.00E+14,1.20E+18,15.9M years,38051.8M years,,15854896,38051750381,15.9M,38051.8M,,,,
Helmstaedter 2011,2011,SBF - SEM,,17,17,25,18.95,6.81E-15,,2,,1.00,9.48,,0.2,1.13E-09,,3.75E+14,9.00E+17,11.9M years,28538.8M years,,11891172,28538812786,11.9M,28538.8M,,,,
Helmstaedter 2011,2011,SBF - SEM,,12,12,25,15.33,3.60E-15,,2,,1.00,7.66,,0.2,7.20E-10,,3.13E+14,7.50E+17,9.9M years,23782.3M years,,9909310,23782343988,9.9M,23782.3M,,,,
Bock 2011,2011,ss - TEMCA,,4,4,50,9.28,8.00E-16,,2,,1.00,4.64,,5.0,4.00E-09,,1.25E+13,3.00E+16,396.4k years,951.3M years,,396373,951293760,396.4K,951.3M,,,,
Hua 2015,2015,SBF - SEM,,12,12,30,16.29,4.32E-15,,2,,1.00,8.14,,0.3,1.35E-09,,2.00E+14,4.80E+17,6.3M years,15220.7M years,,6341959,15220700153,6.3M,15220.7M,,,,
Ding 2016,2016,SBF - SEM,,13,13,26,16.55,4.53E-15,,2,,1.00,8.27,,0.4,1.81E-09,,1.56E+14,3.75E+17,5M years,11891.2M years,,4954655,11891171994,5M,11891.2M,,,,
Wanner 2016,2016,SBF - SEM,,9,9,25,12.65,2.03E-15,,2,,1.00,6.33,,2.0,4.05E-09,,3.13E+13,7.50E+16,990.9k years,2378.2M years,,990931,2378234399,990.9K,2378.2M,,,,
