First Author	Year	Organism	Organism (cleaned)	Dataset name	Volume(as quoted)	Volume (μm³)	Volume (claude)	Resolution (nm)	Resolution (claude)	Dataset Size (TB)	Dataset Size (Claude)	Acquisition Time (days)	Scanning Costs ($)	Method	Method (claude)	Completion %	References	Notes
Antonio Jimenez-Marin	2024	Human	Human	LEMON						n/a (given 40,000 healthy individuals)		not given	not given	fMRI, diffusion MRI	Tractography	not given	https://www.nature.com/articles/s41597-024-03060-2#Sec8
Zing	2024	Mouse	Mouse	ALCEM	1 mm³	1x10⁹	1000000000.0	4 x 4 x 40	8000.0	2,500	2.5	200	6,000,000	ATUM-SEM	Electron Microscopy	100%	https://pmc.ncbi.nlm.nih.gov/articles/PMC10054929/ 	"Using the MICrONS dataset, this study reveals a universal ""like-to-like"" connectivity rule in the mouse visual cortex, where neurons
with similar features preferentially connect. These principles, mirrored in artificial networks, highlight their role in sensory processing and learning."
Nanfang Pan	2024	Human (College students)	Human	"Behavioral and neuroimaging data collected pre-pandemic and
during the pandemic from a cohort of university students"				"Spatial: 3.0 Tesla fMRI with
~2 mm³ voxel size;
Temporal: TR = 2s"	2.0	not mentioned		"Neuroimaging data collected over multiple sessions pre-pandemic
(October 2019–January 2020) and follow-up assessments during
March–April 2021"	not given	"Resting-state functional MRI (rs-fMRI), Regularized Canonical Correlation Analysis
(rCCA), nested cross-validation, machine learning pipeline (linear SVM)"	Neuronal Circuit Mapping	100%	https://www.nature.com/articles/s41398-024-02741-1 	"The study highlights functional connectivity patterns predictive of stress and anxiety during the COVID-19
pandemic and suggests implications for targeted psychological interventions."
Qiang Ma	2024	Human (Neonates)	Human	Developing Human Connectome Project (dHCP)	"Not explicitly quoted;
dataset contains 879 neonatal brain scans"	"Not explicitly calculated;
dataset includes the entire neonatal brain
at isotropic 0.5mm3 resolution"		500,000nm3	500000.0	2-3 TB per cohort for neuroimaging data	2.5	"DL-based pipeline ~24 seconds per scan;
original pipeline - 6.5 hours per scan"	"not specified
(mentions high cost)"	"Deep Learning-based cortical surface reconstruction using GPU acceleration
and multi-scale deformation networks"	Neuronal Circuit Mapping	90%	https://arxiv.org/pdf/2405.08783v2 	"The study introduced a GPU-accelerated pipeline for reconstructing neonatal brain surfaces, achieving 995x speed improvements
over the original method with superior accuracy."
Beets Isabel	2023	Caenorhabditis elegans	C. elegans	Peptide-GPCR Interaction Dataset	not given 	not applicable		not applicable		not given( includes sample size 55,384 peptide-GPCR pairs)		not given	not given	Reverse pharmacology, calcium mobilization assays	Cellular Imaging	87%	https://doi.org/10.1016/j.celrep.2023.113058	"Identified 461 peptide-GPCR pairs using a comprehensive screening of synthetic peptides. Found evolutionary conservation of 14 bilaterian
peptidergic systems in C. elegans."
Haocheng Dai,	2023	Human	Human	DWI dataset	not specified			DWI voxel scale (~1–2 mm³)		not specified		not applicable used earlier dataset of HCP	not given	"Diffusion-weighted imaging (DWI), geodesic tractography, Riemannian
manifold modeling, CEDNN"	Tractography	100%	https://arxiv.org/pdf/2203.06122 	"Demonstrates the utility of convolutional encoder-decoder neural networks (CEDNN) for brain connectome modelling
and improved alignment of fiber tracts."
Shang Mu	2023	Mouse	Mouse	e2198 Dataset	0.3mm² ×23μm	103,500μm³ 	103500.0	16.5×16.5×23nm	19.33	approx 2-3 TB	2.5	several months	not specified	"Serial Block-Face Electron Microscopy (SBFSEM), automated and manual
segmentation using Eyewire, convolutional neural network-based reconstruction"	Electron Microscopy	"Partial -199 starburst cells reconstructed
and analyzed, but dataset boundary and
incomplete nuclear layer reconstruction
limit full completion"	"https://www.frontiersin.org/journals/ophthalmology/articles/10.3389
/fopht.2023.1129463/full "	"The study identified novel perisomatic contacts between starburst amacrine cells, challenging prior assumptions about their
stratification and connectivity."
Fabian Svara	2022	Lavaral Zebrafish	Zebrafish	EM dataset of larval zebrafish brain	0.058 mm³ (approx)	58,000	58000.0	14 × 14 × 25 nm³	14.333333333333334	12.5	12.5	66	not given	Serial block-face scanning EM (SEBM)	Electron Microscopy	high accuracy mentioned	doi: 10.1038/s41592-022-01621-0	"Dense synaptic connectivity reconstruction using SBEM, paired with 2P calcium imaging. Synapse-level analysis was validated by
SyConn, and a digital neuron address book was created for circuit mapping."
Dorkenwald	2022	Mouse	Mouse	not specific	not mentioned			250 × 140 × 90 μm	148000.0	not given (it mentions that it's a big dataset)			1,000,000	Serial Section Electron Microscopy, Automated Image Analysis, Statistical Modeling	Electron Microscopy	not mentioned	https://pubmed.ncbi.nlm.nih.gov/36382887/ 	"This study maps L2/3 pyramidal cell connectivity in the mouse visual cortex using electron microscopy, revealing synapse size as a combination of
binary and analogue variables. Binary variation aligns with uniform activity-dependent plasticity, while analogue variation reflects spontaneous
fluctuations, supporting the hypothesis of bistable synaptic states in learning."
Joan Rué-Queralt	2022	Human	Human	VEPCON Dataset	" 1,130 cm3 (estimated but not
specified in the paper)"			"not specified (high-resolution
stated)"		not mentioned		not mentioned	not specified	"Compressed sensing, connectome spectrum-based tomographic
reconstruction of EEG sources; integration of fMRI, diffusion MRI,
and graph signal processing"	Neuronal Circuit Mapping	100%	https://www.biorxiv.org/content/10.1101/2022.07.26.501544v1.full 	The study introduced Connectome Spectrum Electromagnetic Tomography (CSET) to enhance EEG source reconstruction by leveraging sparse representations of brain connectivity.
Zhihui Yang	2021	Rats (Sprague–Dawley)	Rat	not mentioned	not specified			"fMRI spatial resolution 0.9 mm
slice thickness (approx)
functional resolution TR = 2s"	900000.0	just specifies a lower TB range of data	1.0	Longitudinal study with imaging at 2 days and 30 days post-injury	"$50,000–$150,000
(approx)"	"Resting-state functional MRI (11.1 T), graph theory-based connectivity analysis,
modularity analysis, Pearson correlation matrices"	Neuronal Circuit Mapping	100%	https://watermark.silverchair.com/fcab244.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAA2QwggNgBgkqhkiG9w0BBwagggNRMIIDTQIBADCCA0YGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMue-7EFvGCFVGoHsHAgEQgIIDF1CdEKe95LG4pOVFNF5gErh4iv2BNpXhKAklW6lTS12BGqCCWlM_8kejdaIs7Lv0mpPI0EfldNqNw3S20AKLgs5yDtJ2x7l2-v03O6M7o2J44HMx-HgBNEnrUNI5XQk7OS-B0Abx7HsfrwyUCCFxEpxzUpw3_QS_NTl9_uN-aLIaYRqF3EhqPoapRGG52l04oxLmVPpXsuHjh7kILbDtLzXLHOZmZGZtKxAoQYYdKSorgj48YdcTmXO2tL0dQr6Jj5bOixucCSJxX94mlblCDo9BcLapTMnXINC3_9hyaY-oT0NsONvQ8GHxrTgFe6nAhNrZxgHPdIvcB6ZZAhuEl62XMFlFYxyBMUCryqr0uhHL3vSpPrW7Bs-7SFb7NkGBFCHkrZPLHIUq4eCLLwpoK5s4uHnnMIYhjy5xO83wq2f_yzKZLZ6G4qDU2vsXcELZrdlgqQf4KpeR9knl42W3zre9oEWQNoWxMB13f-r4XaniVSMSLKbp7SQ3W10FtxYhMOIiSSRw4wyQUKaPAoYLGU39i2WjHAerYyHLn3xQJyFMByc6BO1P1ilLa70rawAyV7mSeg4ld40bJiALO9jxw2nq4JFz22PWBWo2zHJIywm-wAqoXrKEydxk6Pall_wflz8DwbWX5COoLIKv3pmlyXRr-tR8lY8-DUw98s2C6MRfakk9rFMMLyXIl-Sct0biMEd02M4ep9xPCaSMGfiHF76IukrDZqiji5xLdxytRRAgv8tJ8aPq4NjURz6iaPOljHgFeVhU9sGRMddacrPF1kP5YG7JPkfZnL-4kLmHpVbO46qRqBhji0zU8m8x5Azk86S00t-Mop03UCoQWrXcA5c3STUyun4w7j9lfeJ1ISNBCjgzh6dxktWBantTXl91-kiFHBbFMSiUjrQzi4onxrAzet8Ve8akRwHF-dWGi2nrg_ahqDNdf_CS-ROPa957KGnrediF_7vmwQf2TQtGKOlO3_vpatE-5Pr7EgnKHf7RodY9NJCqpMQSvq-8L4efqMJk4JED62EX9isyqYlaf9wHoWNj4vkZ 	"The study demonstrates compensatory functional connectivity reorganization in response to controlled cortical impact. Graph-theory metrics
were used to analyze connectivity patterns and recovery trends post-TBI."
