id,year,img_tech,,vx_x,vx_y,vx_z,vx_avg,vx_vol,,tgt_vx_size,,exp_paper,exp_eff,,img_rate,vol_rate,,mouse_time,human_time,mouse_str,human_str,,mouse_scopes_1yr,human_scopes_1yr,mouse_scopes_1yr_str,human_scopes_1yr_str,,cost_scope,cost_scopes_mouse_1yr,cost_scopes_human_1yr
,,,,nm,nm,nm,nm3,mm3,,nm,,,,,mhz,mm3/sec,,sec,sec,,,,,,,,,$,,
Briggman 2011,2011,SBF - SEM,,17,17,23,18.43,6.26E-15,,50,,1.00,1.00,,0.5,3.30E-09,,1.52E+11,3.64E+14,4.8k years,11.5M years,,4811,11546026,4.8K,11.5M,,,,
Kim 2014,2014,SBF - SEM,,17,17,23,18.43,6.26E-15,,50,,1.00,1.00,,0.5,3.30E-09,,1.52E+11,3.64E+14,4.8k years,11.5M years,,4811,11546026,4.8K,11.5M,,,,
Helmstaedter 2011,2011,SBF - SEM,,22,22,30,24.40,1.45E-14,,50,,1.00,1.00,,0.1,1.82E-09,,2.75E+11,6.61E+14,8.7k years,21M years,,8736,20965152,8.7K,21M,,,,
Helmstaedter 2011,2011,SBF - SEM,,17,17,25,18.95,6.81E-15,,50,,1.00,1.00,,0.2,1.13E-09,,4.41E+11,1.06E+15,14k years,33.5M years,,13977,33544243,14K,33.5M,,,,
Helmstaedter 2011,2011,SBF - SEM,,12,12,25,15.33,3.60E-15,,50,,1.00,1.00,,0.2,7.20E-10,,6.94E+11,1.67E+15,22k years,52.8M years,,22021,52849654,22K,52.8M,,,,
Bock 2011,2011,ss - TEMCA,,4,4,50,9.28,8.00E-16,,50,,1.00,1.00,,5.0,4.00E-09,,1.25E+11,3.00E+14,4k years,9.5M years,,3964,9512938,4K,9.5M,,,,
Hua 2015,2015,SBF - SEM,,12,12,30,16.29,4.32E-15,,50,,1.00,1.00,,0.3,1.35E-09,,3.70E+11,8.89E+14,11.7k years,28.2M years,,11745,28186482,11.7K,28.2M,,,,
Ding 2016,2016,SBF - SEM,,13,13,26,16.55,4.53E-15,,50,,1.00,1.00,,0.4,1.81E-09,,2.76E+11,6.62E+14,8.7k years,21M years,,8750,20998750,8.8K,21M,,,,
Wanner 2016,2016,SBF - SEM,,9,9,25,12.65,2.03E-15,,50,,1.00,1.00,,2.0,4.05E-09,,1.23E+11,2.96E+14,3.9k years,9.4M years,,3915,9395494,3.9K,9.4M,,,,
Wanner 2016,2016,SBF - SEM,,9,9,25,12.88,2.14E-15,,50,,1.00,1.00,,2.0,4.28E-09,,1.17E+11,2.80E+14,3.7k years,8.9M years,,3707,8894493,3.7K,8.9M,,,,
Allen-Lee 2016,2016,ss - TEMCA,,4,4,40,8.62,6.40E-16,,50,,1.00,1.00,,8.0,5.12E-09,,9.77E+10,2.34E+14,3.1k years,7.4M years,,3097,7431983,3.1K,7.4M,,,,
Zheng 2018,2018,ss - TEMCA,,4,4,40,8.62,6.40E-16,,50,,1.00,1.00,,50.0,3.20E-08,,1.56E+10,3.75E+13,495.5 years,1.2M years,,496,1189118,496,1.2M,,,,
Kasthuri 2015,2015,ATUM - SEM,,4,4,40,8.62,6.40E-16,,50,,1.00,1.00,,1.0,6.40E-10,,7.81E+11,1.88E+15,24.8k years,59.5M years,,24774,59455860,24.8K,59.5M,,,,
Hildebrand 2017,2017,ATUM - SEM,,56,56,60,57.58,1.91E-13,,50,,1.00,1.15,,1.0,1.91E-07,,4.00E+09,9.60E+12,126.8 years,304.4k years,,127,304415,127,304.4K,,,,
Hildebrand 2017,2017,ATUM - SEM,,19,19,60,27.68,2.12E-14,,50,,1.00,1.00,,1.0,2.12E-08,,2.36E+10,5.66E+13,747.6 years,1.8M years,,748,1794353,748,1.8M,,,,
Takemura 2017,2017,FIB - SEM,,8,8,8,8.00,5.12E-16,,50,,1.00,1.00,,0.2,7.94E-11,,6.30E+12,1.51E+16,199.8k years,479.5M years,,199772,479452055,199.8K,479.5M,,,,
Tobin 2017,2017,ATUM - SEM,,4,4,50,9.28,8.00E-16,,50,,1.00,1.00,,8.0,6.40E-09,,7.81E+10,1.88E+14,2.5k years,5.9M years,,2478,5945586,2.5K,5.9M,,,,
Takemura 2013,2013,ss - TEM,,4,4,44,9.48,8.52E-16,,50,,1.00,1.00,,0.0,3.19E-11,,1.57E+13,3.76E+16,497.2k years,1193.2M years,,497184,1193241532,497.2K,1193.2M,,,,
Loomba 2022,2022,SBF - SEM,,11,11,30,15.59,3.79E-15,,50,,1.00,1.00,,1.4,5.41E-09,,9.23E+10,2.22E+14,2.9k years,7M years,,2929,7027791,2.9K,7M,,,,
Loomba 2022,2022,SBF - SEM,,11,11,30,15.59,3.79E-15,,50,,1.00,1.00,,1.4,5.41E-09,,9.23E+10,2.22E+14,2.9k years,7M years,,2929,7027791,2.9K,7M,,,,
Loomba 2022,2022,SBF - SEM,,11,11,30,15.59,3.79E-15,,50,,1.00,1.00,,2.5,9.48E-09,,5.28E+10,1.27E+14,1.7k years,4M years,,1674,4015881,1.7K,4M,,,,
Loomba 2022,2022,SBF - SEM,,11,11,30,15.59,3.79E-15,,50,,1.00,1.00,,2.5,9.48E-09,,5.28E+10,1.27E+14,1.7k years,4M years,,1674,4015881,1.7K,4M,,,,
Loomba 2022,2022,SBF - SEM,,11,11,30,15.59,3.79E-15,,50,,1.00,1.00,,1.4,5.41E-09,,9.23E+10,2.22E+14,2.9k years,7M years,,2929,7027791,2.9K,7M,,,,
Loomba 2022,2022,ATUM - mSEM,,4,4,37,8.39,5.90E-16,,50,,1.00,1.00,,20.0,1.18E-08,,4.23E+10,1.02E+14,1.3k years,3.2M years,,1343,3222540,1.3K,3.2M,,,,
Loomba 2022,2022,ATUM - mSEM,,4,4,40,8.63,6.43E-16,,50,,1.00,1.00,,20.0,1.29E-08,,3.89E+10,9.33E+13,1.2k years,3M years,,1233,2958003,1.2K,3M,,,,
Scheffer 2020,2020,FIB - SEM,,8,8,8,8.00,5.12E-16,,50,,1.00,1.00,,0.3,1.39E-10,,3.59E+12,8.63E+15,114k years,273.5M years,,113958,273496956,114K,273.5M,,,,
Bosch 2022,2022,SBF - SEM,,50,50,50,50.00,1.25E-13,,50,,1.00,1.00,,2.0,2.50E-07,,2.00E+09,4.80E+12,63.4 years,152.2k years,,64,152208,64,152.2K,,,,
Turner 2022,2022,ss - TEMCA,,4,4,40,8.00,5.13E-16,,50,,1.00,1.00,,500.0,2.56E-07,,1.95E+09,4.68E+12,61.9 years,148.4k years,,62,148450,62,148.5K,,,,
MICrONS 2021,2021,GridTape - autoTEM,,4,4,40,8.62,6.40E-16,,50,,1.00,1.00,,20.8,1.33E-08,,3.76E+10,9.02E+13,1.2k years,2.9M years,,1192,2860020,1.2K,2.9M,,,,
Shapson-Coe 2021,2021,ATUM - mSEM,,4,4,33,8.08,5.28E-16,,50,,1.00,1.00,,190.0,1.00E-07,,4.98E+09,1.20E+13,158 years,379.3k years,,159,379293,159,379.3K,,4000000,636000000,1517172000000
Phelps 2021,2021,GridTape - TEMCA,,4,4,45,9.41,8.32E-16,,50,,1.00,1.00,,42.7,3.56E-08,,1.41E+10,3.37E+13,445.9 years,1.1M years,,446,1070142,446,1.1M,,,,
Hoffman 2020,2020,FIB - SEM,,4,4,4,4.00,6.40E-17,,50,,1.00,1.00,,0.2,1.28E-11,,3.91E+13,9.38E+16,1.2M years,2972.8M years,,1238664,2972792999,1.2M,2972.8M,,,,
Hua 2021 cochlea,2021,SBF - SEM,,11,11,40,16.92,4.84E-15,,50,,1.00,1.00,,1.0,4.84E-09,,1.03E+11,2.48E+14,3.3k years,7.9M years,,3276,7861932,3.3K,7.9M,,,,
Hua 2021 cochlea,2021,SBF - SEM,,12,12,50,19.31,7.20E-15,,50,,1.00,1.00,,0.7,4.80E-09,,1.04E+11,2.50E+14,3.3k years,7.9M years,,3304,7927448,3.3K,7.9M,,,,
Hua 2021 cochlea,2021,SBF - SEM,,12,12,50,19.31,7.20E-15,,50,,1.00,1.00,,0.5,3.60E-09,,1.39E+11,3.33E+14,4.4k years,10.6M years,,4405,10569931,4.4K,10.6M,,,,
Schwartz 2018,2018,SBF - SEM,,13,13,32,17.55,5.41E-15,,50,,1.00,1.00,,0.3,1.80E-09,,2.77E+11,6.66E+14,8.8k years,21.1M years,,8796,21108590,8.8K,21.1M,,,,
Schwartz 2018,2018,SBF - SEM,,13,13,32,17.55,5.41E-15,,50,,1.00,1.00,,0.3,1.80E-09,,2.77E+11,6.66E+14,8.8k years,21.1M years,,8796,21108590,8.8K,21.1M,,,,
Kornfeld 2017,2017,SBF - SEM,,11,11,29,15.20,3.51E-15,,50,,1.00,1.00,,2.1,7.47E-09,,6.70E+10,1.61E+14,2.1k years,5.1M years,,2124,5096701,2.1K,5.1M,,,,
Svara 2022,2022,SBF - SEM,,14,14,25,16.98,4.90E-15,,50,,1.00,1.00,,2.1,1.02E-08,,4.92E+10,1.18E+14,1.6k years,3.7M years,,1560,3743687,1.6K,3.7M,,,,
