id	year	img_tech	vx_x	vx_y	vx_z	vx_avg	vx_vol	tgt_vx_size	exp_paper	exp_eff	img_rate	vol_rate	mouse_time	human_time	mouse_str	human_str	mouse_scopes_1yr	human_scopes_1yr	mouse_scopes_1yr_str	human_scopes_1yr_str	cost_scope	cost_scopes_mouse_1yr	cost_scopes_human_1yr	ref_id	supporting_refs	ref_note	confidence	validated_by
			nm	nm	nm	nm3	mm3	nm			mhz	mm3/sec	sec	sec							$				none	none
Briggman 2011	2011.0	SBF - SEM	17	17	23	18.43	6.26E-15	50	1.0	1.0	0.5	3.30E-09	1.52E+11	3.64E+14	4.8k years	11.5M years	4811.0	11546026.0	4.8K	11.5M			none	briggman2011
Kim 2014	2014.0	SBF - SEM	17	17	23	18.43	6.26E-15	50	1.0	1.0	0.5	3.30E-09	1.52E+11	3.64E+14	4.8k years	11.5M years	4811.0	11546026.0	4.8K	11.5M			none	kim2014
Helmstaedter 2011	2011.0	SBF - SEM	22	22	30	24.40	1.45E-14	50	1.0	1.0	0.1	1.82E-09	2.75E+11	6.61E+14	8.7k years	21M years	8736.0	20965152.0	8.7K	21M			none	helmstaedter2011
Helmstaedter 2011	2011.0	SBF - SEM	17	17	25	18.95	6.81E-15	50	1.0	1.0	0.2	1.13E-09	4.41E+11	1.06E+15	14k years	33.5M years	13977.0	33544243.0	14K	33.5M			none	helmstaedter2011
Helmstaedter 2011	2011.0	SBF - SEM	12	12	25	15.33	3.60E-15	50	1.0	1.0	0.2	7.20E-10	6.94E+11	1.67E+15	22k years	52.8M years	22021.0	52849654.0	22K	52.8M			none	helmstaedter2011
Bock 2011	2011.0	ss - TEMCA	4	4	50	9.28	8.00E-16	50	1.0	1.0	5.0	4.00E-09	1.25E+11	3.00E+14	4k years	9.5M years	3964.0	9512938.0	4K	9.5M			none	bock2011
Hua 2015	2015.0	SBF - SEM	12	12	30	16.29	4.32E-15	50	1.0	1.0	0.3	1.35E-09	3.70E+11	8.89E+14	11.7k years	28.2M years	11745.0	28186482.0	11.7K	28.2M			none	hua2015
Ding 2016	2016.0	SBF - SEM	13	13	26	16.55	4.53E-15	50	1.0	1.0	0.4	1.81E-09	2.76E+11	6.62E+14	8.7k years	21M years	8750.0	20998750.0	8.8K	21M			none	ding2016
Wanner 2016	2016.0	SBF - SEM	9	9	25	12.65	2.03E-15	50	1.0	1.0	2.0	4.05E-09	1.23E+11	2.96E+14	3.9k years	9.4M years	3915.0	9395494.0	3.9K	9.4M			none	wanner2016
Wanner 2016	2016.0	SBF - SEM	9	9	25	12.88	2.14E-15	50	1.0	1.0	2.0	4.28E-09	1.17E+11	2.80E+14	3.7k years	8.9M years	3707.0	8894493.0	3.7K	8.9M			none	wanner2016
Allen-Lee 2016	2016.0	ss - TEMCA	4	4	40	8.62	6.40E-16	50	1.0	1.0	8.0	5.12E-09	9.77E+10	2.34E+14	3.1k years	7.4M years	3097.0	7431983.0	3.1K	7.4M			none	allenlee2016
Zheng 2018	2018.0	ss - TEMCA	4	4	40	8.62	6.40E-16	50	1.0	1.0	50.0	3.20E-08	1.56E+10	3.75E+13	495.5 years	1.2M years	496.0	1189118.0	496	1.2M			none	zheng2018
