mapName	mapID	released_year	map_comment	doi	img_tech	n_machines_involved	n_machines_parallel	species	dev	organ	region	fov_x_um	fov_y_um	fov_z_um	fov_mm3	vx_x_nm	vx_y_nm	vx_z_nm	vx_avg_nm	dsSize_nVx	dsSize_TB	DT	imagingRate	imagingRate_perMachine
		year				units	units					um	um	um	um^3	nm	nm	nm	nm	nVx	TB	µs/px	MHz	MHz
mouseRetina	E2198	2011	Briggman 2011	https://doi.org/10.1038/nature09818	SBF - SEM	1	1	mouse	adult	eye	retina	350	300	60	0.0063	16.5	16.5	23	18.43169357	1006108515990	1.006108516	1.9	0.5263157895	0.5263157895
mouseRetina	E2198	2014	Kim 2014	doi:/10.1038/nature13240	SBF - SEM	1	1	mouse	adult	eye	retina	350	300	60	0.0063	16.5	16.5	23	18.43169357	1006108515990	1.006108516	1.9	0.5263157895	0.5263157895
rabbitRetina	E1088	2011	Helmstaedter 2011	https://doi.org/10.1038/nn.2868	SBF - SEM	1	1	rabbit	adult	eye	retina	45	39	60	0.0001053	22	22	30	24.39620115	7252066116	0.007252066116	8	0.125	0.125
mouseRetina	E2006	2011	Helmstaedter 2011	https://doi.org/10.1038/nn.2868	SBF - SEM	1	1	mouse	adult	eye	retina	135	117	80	0.0012636	16.5	16.5	25	18.95116731	185652892562	0.1856528926	6	0.1666666667	0.1666666667
mouseRetina	k0563 (also referred to as ek563)	2011	Helmstaedter 2011	https://doi.org/10.1038/nn.2868	SBF - SEM	1	1	mouse	adult	eye	retina	50	165	145	0.00119625	12	12	25	15.32618865	332291666667	0.3322916667	5	0.2	0.2
mouseCortex	--	2011	Bock 2011	https://doi.org/10.1038/nature09802	ss - TEMCA	1	1	mouse	adult	brain	cortex	450	350	52	0.00819	4	4	50	9.283177667	10237500000000	10.2375	0.2	5	5
stainingTest	--	2015	Hua 2015	https://doi.org/10.1038/ncomms8923	SBF - SEM	1	1	mouse	adult	brain	cortex	65	51	41	0.000135915	12	12	30	16.2865057	31461805556	0.03146180556	3.2	0.3125	0.3125
mouseRetina	K0725	2016	Ding 2016	https://doi.org/10.1038/nature18609	SBF - SEM	1	1	mouse	adult	eye	retina	50	210	260	0.00273	13.2	13.2	26	16.5465353	602617079890	0.6026170799	2.5	0.4	0.4
zebrafishOB_adult	--	2016	Wanner 2016	https://doi.org/10.1038/nn.4290	SBF - SEM	1	1	zebrafish	adult	brain	OB	173	288	98	0.004882752	9	9	25	12.65148998	2411235555556	2.411235556	0.5	2	2
zebrafishOB_larva	--	2016	Wanner 2016	https://doi.org/10.1038/nn.4290	SBF - SEM	1	1	zebrafish	larva	brain	OB	72.2	107.8	118.6	0.000923082776	9.25	9.25	25	12.88470535	431536140716	0.4315361407	0.5	2	2
mouseCortex	--	2016	Allen-Lee 2016	https://doi.org/10.1038/nature17192	ss - TEMCA	1	1	mouse	adult	brain	cortex	450	450	150	0.030375	4	4	40	8.61773876	47460937500000	47.4609375	0.125	8	8
flyBrain_larva	acardona_0111_8	2015	Ohyama 2015	https://doi.org/10.1038/nature14297	ss - TEM	1	1	fly	larva	brain	brain	124.5	124.5	242	0.0037510605	3.8	3.8	50	8.971100718	5195374653740	5.195374654	undisclosed	undisclosed	undisclosed
flyBrain_larva	acardona_abd1_5	2015	Ohyama 2015	https://doi.org/10.1038/nature14297	ss - TEM	1	1	fly	larva	gut	abdomen	98.3	98.3	18.44	0.0001781836916	4	4	40	8.61773876	278412018125	0.2784120181	undisclosed	undisclosed	undisclosed
