Project name	Category	Status	Start Year	Start Year (cleaned)	End Year	End Year (cleaned)	Budget (in million $)	Budget (in million $) (cleaned)	Ignore?	Funders	Model Organism Studied	Model Organism Studied (Simplified)	References	blurb	Related Keywords/Papers	ref_id	supporting_refs	ref_note	confidence	validated_by
Allen Institute Brain Observatory	Academic	Active	2016	2016.0			600	600.0		Allen Institute 	Mouse/Human	Rodents,Human	https://alleninstitute.org/division/brain-science/ https://www.nbcnews.com/science/cosmic-log/billionaire-paul-allen-kicks-brain-observatory-effort-300-million-flna513473 	"The Allen Institute's brain connectome project maps				none	none
neural connections in the mouse brain, providing a				none	none
comprehensive resource for understanding brain				none	none
function and disease mechanisms."	Allen Institute Brain Atlas				none	none
Human Connectome Project (WU-Minn HCP)	Academic	Active	2010	2010.0	2017(major data release)		40	40.0	True	National Institute of Health(NIH)	Human	Human	https://www.humanconnectome.org/. https://www.sciencedirect.com/science/article/abs/pii/S1053811913005351?via%3Dihub	"Maps human brain connectivity using advanced				none	none
imaging for understanding neural pathways in				none	none
health/disease."	"https://pmc.ncbi.nlm.nih.gov/articles/PMC3555558/				none	none
Keywords - brain mapping, connectome, human connectome"				none	none
Developing Human Connectome	Commercial	Active	2013	2013.0			20	20.0		Wellcome Trust, EU	Human (neonatal)	Human	https://www.developingconnectome.org/project/#:~:text=Currently%2C%20the%20connectome%20of%20the%20mature%20adult%20brain%20is%20in%20progress.	"Focuses on mapping brain connectivity in infants to				none	none
study neurodevelopment from fetal to neonatal stages."	"https://www.nih.gov/news-events/nih-research-matters/scientists-build-largest-maps-date-cells-human-brain?utm_source=chatgpt.com				none	none
Keywords - developing HCP, dHCP, connectome"				none	none
Adolescent Brain Development	Academic	Active	2016	2016.0			100	100.0	True	National Institute of Health(NIH)	Humans	Human	https://pmc.ncbi.nlm.nih.gov/articles/PMC6474358/	"Focuses on mapping brain connectivity in infants to				none	none
study neurodevelopment from fetal to neonatal stages."	"https://pmc.ncbi.nlm.nih.gov/articles/PMC2892678/				none	none
Keywords - neuroimaging, adolescent brain development, brain imaging, brain mapping"				none	none
Developing Children's Connectome Project	Academic	Active	2024	2024.0			not mentioned			Synergy Grant by the European Research Council (ERC)	Humans (children aged 5-10 yrs.) 	Human	https://www.developingconnectome.org/data-release/	"Maps neural development in children to examine				none	none
early-life brain growth and function."	"				none	none
https://pmc.ncbi.nlm.nih.gov/articles/PMC2892678/				none	none
Keywords - brain mapping children, growth function, neurodevelopment"				none	none
Janelia Research Campus	Academic	Active	2006	2006.0						"HHMI (Howard Hughes Medical Institute), Wellcome Trust,				none	none
University of Cambridge, Google Research, and the				none	none
MRC Laboratory of Molecular Biology."	Fruit fly	Insects	https://www.biorxiv.org/content/10.1101/2023.06.05.543407v2.full https://www.janelia.org/project-team/flyem/manc-connectome 	"Conducts advanced brain mapping, including				none	none
high-resolution connectomics in flies and mice."	"https://www.science.org/doi/full/10.1126/science.abf4588?casa_token=1UzYh5rkD-cAAAAA%3AjRDF9WL8DJdNHaOsumk4				none	none
_jGkevsaZMuaxjf8BoxaCeb3NSKX_uZ2LqfsCG-1go8ZMZGs8tmWjbIrRg				none	none
Keywords - neuropixels, connectomics, fruitfly"				none	none
Mouselight project (Janelia Research Campus)	Academic	Active	2017	2017.0			not mentioned			Intelligence Advanced Research Projects Activity (IARPA)	Mouse/Human	Rodents,Human	https://www.simonsfoundation.org/2021/03/22/the-connected-connectome-part-2-beyond-the-fly/.   https://www.cell.com/cell/fulltext/S0092-8674(19)30842-6	"Reconstructs neuron structures across the mouse				none	none
brain for connectomic insights."	"https://www.hhmi.org/news/mouselight-project-maps-1000-neurons-and-counting-mouse-brain				none	none
Keywords - Mouselight project, brain mapping, brain connectome "				none	none
FlyWire Brain	Commercial,Academic	Active	2019	2019.0	2024	2024.0	"not mentioned				none	none
"		True	"NIH, Wellcome Trust, EU, NSF, PNI,Seung lab,				none	none
 Allen Institute for Brain Science, IARPA,  Jefferis lab by MRC, Google Amazon"	Adult Fly	Insects	https://www.ukri.org/news/first-map-of-every-neuron-in-an-adult-fly-brain/	"Combines AI and crowdsourcing to create detailed				none	none
synaptic maps of the fly brain. FlyWire focuses on				none	none
segmenting and annotating synaptic connections to				none	none
reveal neural circuits underlying specific behaviors.				none	none
Researchers leverage high-resolution electron				none	none
microscopy and advanced algorithms, allowing l				none	none
arge-scale analysis of connectomic data."	"https://www.nih.gov/news-events/nih-research-matters/complete-wiring-map-adult-fruit-fly-brain				none	none
Keywords- fruitfly, wiring, brain wiring, brain mapping, connectome"				none	none
Harvard-Google 3D Human Brain Map Collaboration	Commercial	Active	2024	2024.0			not mentioned		True	NIH	Humans/Mouse	Human,Rodents	https://news.harvard.edu/gazette/story/2024/05/the-brain-as-weve-never-seen-it/	"Creates high-resolution 3D maps of the human brain				none	none
tissues using AI and advanced imaging to identify				none	none
cellular and synaptic organization in brain regions.				none	none
for deeper understanding of cognition and disorders."	"https://www.nih.gov/news-events/nih-research-matters/study-reveals-unseen-details-human-brain-structure				none	none
Keywords - Google-Harvard connectome project, neuro-cognition and disorders, 3D imaging"				none	none
Neuralink	Commercial	Active	2016	2016.0			total 5 rounds= 680 	680.0		"Elon Musk, Founders Fund, Vy Capital, Google Ventures,				none	none
DFJ Growth, Valor Equity Partners, Craft Ventures, Gigafund,				none	none
Sam Altman, Fred Ehrsam, Kenneth Alan Howery, Blake Byers"	Human, pigs	Human,Pig	https://pmc.ncbi.nlm.nih.gov/articles/PMC6914248/ https://tracxn.com/d/companies/neuralink/__oUVI98zbdmLZga1LgBRb3oGJJBxjbzTc7bMWUfAOLws/funding-and-investors#funding 	"Develops brain-computer interfaces (BCIs) for direct				none	none
communication between the brain and external				none	none
devices, aimed at treating neurological conditions and				none	none
enhancing human cognitive abilities."	"https://pmc.ncbi.nlm.nih.gov/articles/PMC6914248/				none	none
Keywords - Neuralink, BCIs, brain-machine interface, sensory function, motor function, neurology"				none	none
