organisms	C. elegans (body)	fly (brain)	mouse (cortex)	mouse (brain)	human (cortex)	human (brain)	Unnamed: 7	Unnamed: 8	neuron models	LIF	5-comp HH	Unnamed: 12	synapse models	alpha synapse	tsodyks-markram	ref_id	supporting_refs	ref_note	confidence	validated_by
neurons	3.02E+02	1.40E+05	1.37E+07	7.00E+07	2.00E+10	8.60E+10			FLOPS per sec of sim	40000.0	3.45E+06		FLOPS per sec of sim	50000.0	80000.0				none	none
synapses	2.06E+04	5.40E+07	1.20E+11	1.35E+11	1.50E+14	1.70E+14			FLOPS per spike	15.0	-		FLOPS per event	20.0	51.0				none	none
firing (Hz)	10	10	10	10	10	10			bytes	4.0	8.00E+01		bytes	8.0	16.0				none	none
spikes/s	3.02E+03	1.40E+06	1.37E+08	7.00E+08	2.00E+11	8.60E+11				none	none
fan-in	6.82E+01	3.86E+02	8.76E+03	1.93E+03	7.50E+03	1.98E+03				none	none
events/s	2.06E+05	5.40E+08	1.20E+12	1.35E+12	1.50E+15	1.70E+15				none	none
timesteps/s	1.00E+04	1.00E+04	1.00E+04	1.00E+04	1.00E+04	1.00E+04				none	none
time-based simulation cost (per sec)	C. elegans (body)	fly (brain)	mouse (cortex)	mouse (brain)	human (cortex)	human (brain)				none	none
FLOPS per sec of sim (lower bound)	1.04E+09	2.71E+12	6.00E+15	6.75E+15	7.50E+18	8.50E+18				none	none
FLOPS per sec of sim (upper bound)	2.69E+09	4.80E+12	9.65E+15	1.10E+16	1.21E+19	1.39E+19				none	none
event-driven simulation cost (per sec)	C. elegans (body)	fly (brain)	mouse (cortex)	mouse (brain)	human (cortex)	human (brain)				none	none
FLOPS per sec of sim (lower bound)	4.16E+06	1.08E+10	2.40E+13	2.70E+13	3.00E+16	3.40E+16				none	none
FLOPS per sec of sim (upper bound)	1.05E+09	5.11E+11	1.08E+14	3.10E+14	1.46E+17	8.67E+16				none	none
simulation storage requirements	C. elegans (body)	fly (brain)	mouse (cortex)	mouse (brain)	human (cortex)	human (brain)				none	none
bytes (lower bound)	1.66E+05	4.33E+08	9.60E+11	1.08E+12	1.20E+15	1.36E+15				none	none
bytes (upper bound)	3.54E+05	8.75E+08	1.92E+12	2.17E+12	2.40E+15	2.73E+15				none	none
