id	year	img_tech	vx_x	vx_y	vx_z	vx_avg	vx_vol	tgt_vx_size	exp_paper	exp_eff	img_rate	vol_rate	mouse_time	human_time	mouse_str	human_str	mouse_scopes_1yr	human_scopes_1yr	human_scopes_1yr.1	mouse_scopes_1yr_str	human_scopes_1yr_str	human_scopes_1yr_str.1	cost_scope	cost_scopes_mouse_1yr	cost_scopes_human_1yr	ref_id	supporting_refs	ref_note	confidence	validated_by
			nm	nm	nm	nm3	mm3	nm			mhz	mm3/sec	sec	sec									$				none	none
Briggman 2011	2011.0	SBF - SEM	17	17	23	18.43	6.26E-15	25	1.0	1.0	0.5	3.30E-09	1.52E+11	3.64E+14	4.8k years	11.5M years	4811.0	11546026.0	2309206.0	4.8K	11.5M				none	briggman2011
Shapson-Coe 2021	2021.0	ATUM - mSEM	4	4	33	8.08	5.28E-16	25	1.0	1.0	190.0	1.00E-07	4.98E+09	1.20E+13	158 years	379.3k years	159.0	379293.0	75859.0	159	379.3K		4000000	636000000.0	1517172000000.0	shapsoncoe2021			none	none
Yin 2020	2020.0	autoTEM	4	4	40	8.62	6.40E-16	25	1.0	1.0	100.00	6.40E-08	7.81E+09	1.88E+13	247.7 years	594.6k years	248.0	594559.0	118912.0	248	594.6K		250000	62000000.0	148639750000.0	yin2020			none	none
Zheng 2022	2022.0	bdTEM	4	4	45	8.35	5.83E-16	25	1.0	1.0	288.00	1.68E-07	2.98E+09	7.14E+12	94.4 years	226.6k years	95.0	226551.0	45311.0	95	226.6K		500000	47500000.0	113275500000.0	zheng2022			none	none
Wang 2024	2024.0	VIPS	56	56	135	75.09	4.23E-13	25	1.93	5.8	165.85	7.02E-05	1.39E+09	3.33E+12	44 years	105.6k years	44.0	105562.0	21113.0	44	105.6K		300000	13200000.0	31668600000.0	wang2024			none	none
Prince 2024	2024.0	ALSM	425	425	425	425.00	7.68E-11	25	1.0	17.0	18.03	1.38E-03	1.77E+09	4.26E+12	56.3 years	135.1k years	57.0	135070.0	27014.0	57	135.1K		104000	5928000.0	14047280000.0	prince2024			none	none
Chakraborty 2019	2019.0	ctALSM	425	425	425	425.00	7.68E-11	25	1.0	17.0	12.34	9.47E-04	2.59E+09	6.22E+12	82.2 years	197.4k years	83.0	197352.0	39471.0	83	197.4K		120000	9960000.0	23682240000.0	chakraborty2019			none	none
Voleti 2019	2019.0	SCAPE 2.0	240	240	240	240.00	1.38E-11	25	4.0	38.4	419	5.79E-03	4.89E+09	1.17E+13	155 years	372k years	155.0	371981.0	74397.0	155	372K		400000	62000000.0	148792400000.0	voleti2019			none	none
Guo 2020	2020.0	Dual-inverted SPIM	240	240	240	240.00	1.38E-11	25	1.0	9.6	419	5.79E-03	7.64E+07	1.83E+11	2.4 years	5.8k years	3.0	5813.0	1163.0	3	5.8K		250000	750000.0	1453250000.0	guo2020			none	none
Vladimirov 2024	2024.0	Benchtop mesoSPIM	750	750	2000	1040.04	1.13E-09	25	1.0	41.6	37	4.16E-02	8.65E+08	2.08E+12	27.4 years	65.8k years	28.0	65820.0	13164.0	28	65.8K		100000	2800000.0	6582000000.0	vladimirov2024			none	none
Tang 2024	2024.0	Curved LSFM	630	630	1250	791.64	4.96E-10	25	1.0	31.67	130	6.45E-02	2.46E+08	5.91E+11	7.8 years	18.7k years	8.0	18734.0	3747.0	8	18.7K		90000	720000.0	1686060000.0	tang2024			none	none
Glaser 2023	2023.0	ExA-SPIM (1×)	750	750	1000	825.48	5.63E-10	25	1.0	33.02	725	4.08E-01	4.41E+07	1.06E+11	1.4 years	3.4k years	2.0	3360.0	672.0	2	3.4K		250000	500000.0	840000000.0	glaser2023			none	none
Glaser 2023	2023.0	ExA-SPIM (2×)	380	380	500	416.40	7.22E-11	25	2.0	33.31	725	5.23E-02	3.53E+08	8.47E+11	11.2 years	26.9k years	12.0	26873.0	5375.0	12	26.9K		250000	3000000.0	6718250000.0	glaser2023			none	none
Glaser 2023	2023.0	ExA-SPIM (3×)	250	250	330	274.24	2.06E-11	25	3.0	32.91	725	1.50E-02	1.19E+09	2.86E+12	37.8 years	90.7k years	38.0	90695.0	18139.0	38	90.7K		250000	9500000.0	22673750000.0	glaser2023			none	none
Glaser 2023	2023.0	ExA-SPIM (4×)	190	190	250	208.20	9.03E-12	25	4.0	33.31	725	6.54E-03	2.82E+09	6.78E+12	89.6 years	215k years	90.0	214980.0	42996.0	90	215K		250000	22500000.0	53745000000.0	glaser2023			none	none
