id	formula	inputs	unit	section	row	description	ref_id	supporting_refs	ref_note	confidence	validated_by
consumables_cost	biological_volume * (consumables_per_mm3 + labor_cost_per_mm3 + antibody_cost_per_mm3 * (total_channels - 1))	biological_volume,consumables_per_mm3,labor_cost_per_mm3,antibody_cost_per_mm3,total_channels	$	costs	129	Sample preparation and consumables cost	internal_methodology_2025		Volume × per-mm³ costs	derived	human
scanning_cost	scope_operating_cost_per_year * num_microscopes * imaging_years	scope_operating_cost_per_year,num_microscopes,imaging_years	$	costs	130	Microscope operating costs during imaging	internal_methodology_2025		Operating cost × scopes × time	derived	human
imaging_cost_total	consumables_cost + scanning_cost	consumables_cost,scanning_cost	$	costs	131	Total imaging costs	internal_methodology_2025		Sum of sample prep and scanning	derived	human
processing_cost_registration	max_parallel_gpus * registration_days * 24 * gpu_cost_per_hour / biological_volume	max_parallel_gpus,registration_days,gpu_cost_per_hour,biological_volume	$/PV	costs	117	Registration compute cost per petavoxel	internal_methodology_2025		GPU-hours × rate / volume	derived	human
processing_cost_segmentation	max_parallel_gpus * segmentation_days * gpu_cost_per_hour * 24 / petavoxels_total	max_parallel_gpus,segmentation_days,gpu_cost_per_hour,petavoxels_total	$/PV	costs	118	Segmentation compute cost per petavoxel	internal_methodology_2025		GPU-hours × rate / volume	derived	human
processing_cost_total	petavoxels_total * (processing_cost_registration + processing_cost_segmentation)	petavoxels_total,processing_cost_registration,processing_cost_segmentation	$	costs	140	Total processing compute cost	internal_methodology_2025		Volume × per-PV cost	derived	human
proofreading_cost	neuron_count * hours_per_neuron * hourly_rate	neuron_count,hours_per_neuron,hourly_rate	$	costs	141	Total proofreading labor cost	internal_methodology_2025		Neurons × hours × rate	derived	human
personnel_cost	(project_mgmt_staff + technical_staff + misc_staff) * avg_staff_salary * project_duration / total_connectomes	project_mgmt_staff,technical_staff,misc_staff,avg_staff_salary,project_duration,total_connectomes	$	costs	142	Personnel costs per connectome	internal_methodology_2025		FTE × salary × years / connectomes	derived	human
other_costs	other_costs_per_connectome	other_costs_per_connectome	$	costs	143	Miscellaneous costs (shipping, permits, etc.)	internal_methodology_2025		Fixed per-connectome overhead	derived	human
first_subtotal	imaging_cost_total + total_storage_cost_first + processing_cost_total + proofreading_cost + personnel_cost + other_costs + data_science_cost + capital_base	imaging_cost_total,total_storage_cost_first,processing_cost_total,proofreading_cost,personnel_cost,other_costs,data_science_cost,capital_base	$	costs	167-171	First connectome costs before buffer	internal_methodology_2025		Sum of all cost components	derived	human
first_buffer	first_subtotal * risk_buffer_first	first_subtotal,risk_buffer_first	$	costs	172	Risk buffer for first connectome	internal_methodology_2025		Contingency as fraction of subtotal	derived	human
first_total	first_subtotal + first_buffer	first_subtotal,first_buffer	$	costs	173	Total cost for first connectome	internal_methodology_2025		Subtotal + buffer	derived	human
first_cost_per_neuron	first_total / neuron_count	first_total,neuron_count	$/neuron	costs	174	First connectome cost per neuron	internal_methodology_2025		Total cost / neuron count	derived	human
marginal_subtotal	imaging_cost_total + total_storage_cost_marginal + processing_cost_total + proofreading_cost + personnel_cost + other_costs	imaging_cost_total,total_storage_cost_marginal,processing_cost_total,proofreading_cost,personnel_cost,other_costs	$	costs	176-180	Marginal connectome costs before buffer	internal_methodology_2025		Sum without capital base	derived	human
marginal_buffer	marginal_subtotal * risk_buffer_marginal	marginal_subtotal,risk_buffer_marginal	$	costs	181	Risk buffer for marginal connectomes	internal_methodology_2025		Contingency as fraction of subtotal	derived	human
marginal_total	marginal_subtotal + marginal_buffer	marginal_subtotal,marginal_buffer	$	costs	182	Total cost for marginal connectome	internal_methodology_2025		Subtotal + buffer	derived	human
marginal_cost_per_neuron	marginal_total / neuron_count	marginal_total,neuron_count	$/neuron	costs	183	Marginal connectome cost per neuron	internal_methodology_2025		Total cost / neuron count	derived	human
avg_total	if(total_connectomes > 1, (first_total + marginal_total * (total_connectomes - 1)) / total_connectomes, first_total)	total_connectomes,first_total,marginal_total	$	costs	164	Average cost per connectome	internal_methodology_2025		Weighted average	derived	human
avg_cost_per_neuron	if(total_connectomes > 1, (first_cost_per_neuron + marginal_cost_per_neuron * (total_connectomes - 1)) / total_connectomes, first_cost_per_neuron)	total_connectomes,first_cost_per_neuron,marginal_cost_per_neuron	$/neuron	costs	165	Average cost per neuron across all connectomes	internal_methodology_2025		Weighted average	derived	human
