System,,Max compute FLOPS / s (FP16 (Half Precision)),Max Storage Bytes,Max Interconnect (bits / s),,
MacBook Pro 2024 M4 Pro,2024,3.4E+13,1.3E+11,5.5E+11,https://www.apple.com/macbook-pro/specs/,https://www.cpu-monkey.com/en/igpu-apple_m4_max_40_core
MacStudio M2 Ultra,2023,5.4E+13,1.9E+11,8.0E+11,https://www.apple.com/shop/buy-mac/mac-studio/24-core-cpu-60-core-gpu-32-core-neural-engine-64gb-memory-1tb,https://www.cpu-monkey.com/en/igpu-apple_m2_ultra_76_core
NVIDIA A100 SXM,2020,6.2E+14,8.0E+10,6.0E+11,https://www.nvidia.com/content/dam/en-zz/Solutions/Data-Center/a100/pdf/nvidia-a100-datasheet-us-nvidia-1758950-r4-web.pdf,
NVIDIA H100 NVL,2023,1.7E+15,9.4E+10,3.9E+12,https://www.nvidia.com/en-sg/data-center/h100/,
NVIDA DGX GH200,2023,2.0E+18,1.4E+14,9.0E+11,https://nvidianews.nvidia.com/news/nvidia-announces-dgx-gh200-ai-supercomputer,
NVIDIA HGX B200,2024,3.6E+16,1.5E+12,1.4E+13,https://www.nvidia.com/en-sg/data-center/hgx/,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,53.96,,,,
